Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05384662178666173,0.06176531406837766,0.05384662178666173,0.05912534520030022,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.059125325019673214,0.06229316514786887,0.059125325019673214,0.06123681366443634,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.061236812960754956,0.06282103658717372,0.061236812960754956,0.0622931644320488,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.0622931827478164,0.0628210550581491,0.06018108634526308,0.06070895865559578,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.0607089521675581,0.061236824421476474,0.059125335405803,0.059653207659721375,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.05965321488323418,0.05965321488323418,0.05754172561187676,0.05806959792971611,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.058069563228703755,0.05912530723349455,0.055430203216726766,0.05648594722151756,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05648597667621979,0.05648597667621979,0.05437448756559885,0.05490235984325409,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.054902344232267586,0.0559580884873867,0.05437447210470803,0.055958088487386703,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.055958114622695586,0.05806960411910768,0.05543024224859257,0.057541731745004654,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05754172324742091,0.058597467839717865,0.05754172324742091,0.058597467839717865,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05859747024755547,0.05859747024755547,0.0570138532940374,0.05806959792971611,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.05806960411910768,0.05806960411910768,0.057541731745004654,0.057541731745004654,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05754172561187676,0.059125342565394826,0.05754172561187676,0.05806959792971611,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.058597467839717865,0.06018108472816329,0.058597467839717865,0.058597467839717865,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.058597467839717865,0.05912534013586634,0.058597467839717865,0.058597467839717865,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.0585974764932107,0.05912534886731372,0.05648598699679861,0.057541731745004654,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05754172561187676,0.059125342565394826,0.05754172561187676,0.05806959792971611,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.05806960051757252,0.05965321754166406,0.05806960051757252,0.05912534520030022,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.059125335405803,0.06018107991363974,0.05806959089796627,0.059653207659721375,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06018108634526308,0.0617653104374837,0.06018108634526308,0.06070895865559578,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.06070894150324555,0.06176529298667809,0.06070894150324555,0.06123681366443634,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06123681366443633,0.06123681366443633,0.059125325019673214,0.06123681366443634,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06123684463108231,0.06387681393308403,0.060708972202953564,0.06334894150495529,31910400,0.0,0.0
